name,wins,losses,height,weight,reach,stance,age,SLpM,sig_str_acc,SApM,str_def,td_avg,td_acc,td_def,sub_avg
Sammy Morgan,18,12,177.8,77.11,None,Orthodox,43,1.05,0.22,3.74,0.4,1.43,0.2,0,0.5
Dennis Hallman,53,20,175.26,70.31,182.88,Orthodox,48,1.12,0.44,1.96,0.43,1.79,0.3,0.25,2.1
Todd Medina,11,9,177.8,87.54,None,Southpaw,None,0,0,0,0,0,0,0,0
Brian Stann,12,6,185.42,92.99,187.96,Orthodox,44,3.28,0.42,2.65,0.59,0.12,0.12,0.6,0.3
Jeff Newton,4,2,187.96,92.99,None,Sideways,57,0.28,0.2,1.41,0.52,0,0,0,8.5
Gabriel Gonzaga,17,11,187.96,109.77,193.04,Orthodox,45,2.12,0.45,2.94,0.57,2.8,0.39,0.66,1.1
Colton Smith,7,4,182.88,70.31,180.34,Orthodox,37,1.64,0.41,2.3,0.51,4.09,0.36,0.25,1.4
Jorge Lopez,11,5,177.8,77.11,None,Orthodox,35,2.47,0.59,2.57,0.5,3.5,0.41,0.81,0
Tim Hague,21,13,193.04,117.93,193.04,Orthodox,41,2.79,0.47,4.14,0.46,1.72,0.33,0.85,0.9
Mike Pierce,17,7,172.72,77.11,180.34,Orthodox,44,2.62,0.42,2.36,0.62,3.08,0.42,0.71,0.2
Joselyne Edwards,13,6,172.72,61.23,177.8,Orthodox,29,4.35,0.51,3.29,0.49,0.88,0.33,0.6,0.4
Garreth McLellan,13,6,185.42,83.91,182.88,Southpaw,42,3.56,0.54,2.94,0.45,1.15,0.22,0.34,0.9
Marcelo Mello,1,0,170.18,77.11,None,Southpaw,None,0,0,0,0,0,0,0,0
Joe Moreira,2,2,180.34,88.45,None,Southpaw,None,0,0,0,0,0,0,0,0
Colin Robinson,10,12,193.04,110.22,None,Orthodox,55,6.19,0.69,7.91,0.37,2.58,1,0.5,5.2
Drew McFedries,12,7,182.88,83.91,182.88,Southpaw,46,5.13,0.51,4.56,0.52,1.42,1,0.56,0.7
Per Eklund,14,5,177.8,70.31,182.88,Orthodox,None,2.07,0.61,2.38,0.67,2.07,0.11,0.5,3.6
Steve Vigneault,12,6,177.8,83.91,None,Orthodox,46,2.19,0.28,5.75,0.44,0,0,1,0
Jamie Mullarkey,17,8,182.88,70.31,187.96,Orthodox,30,4.39,0.46,4.53,0.53,2.31,0.34,0.78,0.1
Dustin Pague,12,11,175.26,61.23,187.96,Orthodox,37,1.65,0.53,2.96,0.41,1.03,0.44,0.55,2.6
Diego Rivas,10,2,172.72,65.77,175.26,Orthodox,32,1.37,0.4,2.14,0.52,1.79,0.6,0.64,0.9
Dequan Townsend,21,12,190.5,92.99,200.66,Orthodox,38,1.23,0.34,3.92,0.38,0,0,0.46,0
Zhang Weili,25,3,162.56,52.16,160.02,Switch,35,5.66,0.53,3.15,0.53,2.51,0.46,0.5,0.5
Raphael Assuncao,28,10,165.1,61.23,167.64,Orthodox,42,3.22,0.42,2.5,0.66,1.65,0.39,0.78,0.2
Josh Clopton,6,2,167.64,65.77,None,Orthodox,43,1.6,0.64,2.87,0.5,2,0.66,0.75,0
Ailin Perez,11,2,165.1,61.23,167.64,Switch,30,2.84,0.58,1.34,0.57,5.36,0.51,0.66,0.3
Dustin Hazelett,12,7,185.42,77.11,193.04,Orthodox,38,2.24,0.4,3.51,0.46,0.55,0.5,0.25,4.1
Matt Arroyo,3,3,177.8,77.11,182.88,Orthodox,42,1.62,0.47,2.01,0.58,2.12,0.36,1,5.3
John Polakowski,2,2,177.8,70.31,None,Orthodox,43,2.6,0.26,2.83,0.5,0,0,0.87,0.7
Song Kenan,21,8,182.88,77.11,180.34,Orthodox,34,4.57,0.47,5.84,0.51,0.43,0.33,0.72,0
Dusko Todorovic,12,4,185.42,83.91,187.96,Orthodox,30,5.54,0.57,4.55,0.46,0.96,0.12,0.45,0
