name,wins,losses,height,weight,reach,stance,age,SLpM,sig_str_acc,SApM,str_def,td_avg,td_acc,td_def,sub_avg
Valeri Ignatov,1,2,175.26,77.11,None,Orthodox,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waylon Lowe,16,7,170.18,65.77,None,Southpaw,44,1.88,0.55,2.4,0.53,4.47,0.55,0.83,0.3
James Zikic,21,10,187.96,92.99,None,Orthodox,48,1.47,0.35,1.6,0.44,0.5,0.25,0.74,0.5
Nate Diaz,22,13,182.88,77.11,193.04,Southpaw,39,4.57,0.45,3.77,0.52,1.05,0.3,0.41,1.3
Kai Kamaka,8,4,170.18,65.77,175.26,Orthodox,30,4.96,0.57,5.29,0.55,1.93,0.58,0.52,0.3
Chris Brennan,21,13,172.72,77.11,None,Orthodox,53,0.6,0.4,0.97,0.5,0.0,0.0,0.25,2.1
Cory Hendricks,3,1,190.5,92.99,None,Switch,36,3.13,0.39,4.07,0.42,0.0,0.0,1.0,0.0
Roman Bogatov,10,1,172.72,70.31,185.42,Orthodox,34,3.33,0.42,4.4,0.44,1.0,0.09,0.5,0.0
Dione Barbosa,7,3,167.64,56.7,167.64,Orthodox,32,1.85,0.48,2.49,0.66,1.73,0.28,0.42,2.2
Nicolas Dalby,23,5,180.34,77.11,187.96,Orthodox,40,4.06,0.43,3.52,0.52,1.01,0.27,0.58,0.1
Austin Springer,12,4,172.72,65.77,180.34,Orthodox,37,3.54,0.57,3.15,0.41,3.37,0.4,1.0,0.8
Mike Lullo,8,3,172.72,65.77,None,Orthodox,45,2.48,0.36,4.84,0.4,1.18,0.11,0.0,0.6
Mateus Mendonca,10,3,167.64,56.7,180.34,Orthodox,26,1.66,0.4,4.14,0.3,2.54,0.27,0.55,0.4
Walt Harris,13,10,195.58,113.4,195.58,Southpaw,41,3.05,0.39,3.33,0.54,0.29,0.28,0.7,0.1
Jonathan Goulet,23,12,182.88,77.11,185.42,Orthodox,45,1.61,0.41,2.01,0.46,4.17,0.7,0.45,0.6
Modestas Bukauskas,17,6,190.5,92.99,198.12,Switch,31,3.32,0.42,4.11,0.5,0.37,0.66,0.71,0.2
Nordine Taleb,15,7,185.42,77.11,187.96,Orthodox,43,3.66,0.51,2.62,0.66,1.94,0.76,0.73,0.0
Michael Graves,6,0,177.8,77.11,180.34,Orthodox,34,1.25,0.54,1.47,0.58,4.8,0.52,0.66,0.4
Kevin Burns,12,7,177.8,77.11,187.96,Orthodox,45,2.74,0.38,4.3,0.52,0.28,0.5,0.47,0.8
Phil Davis,17,4,187.96,92.99,200.66,Orthodox,40,2.85,0.34,1.33,0.72,2.99,0.38,0.72,0.6
Landon Quinones,7,3,175.26,70.31,177.8,Southpaw,29,6.77,0.4,7.7,0.55,0.5,0.33,1.0,0.0
Yohan Lainesse,9,3,185.42,77.11,193.04,Orthodox,32,2.22,0.41,3.38,0.58,0.94,0.28,0.72,0.5
Brian Geraghty,26,18,170.18,70.31,None,Orthodox,44,0.47,0.25,9.77,0.36,0.0,0.0,0.5,0.0
Mike Stumpf,11,4,177.8,77.11,None,,38,3.34,0.43,8.85,0.47,1.59,0.25,0.33,0.8
Fabricio Camoes,14,9,177.8,70.31,180.34,Orthodox,46,1.29,0.33,1.85,0.61,2.34,0.32,0.2,1.5
Joel Sutton,2,4,180.34,92.99,None,Orthodox,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ben Nguyen,16,8,165.1,56.7,165.1,Switch,36,3.51,0.4,3.01,0.59,0.25,0.33,0.63,1.0
Mark Hominick,20,12,172.72,65.77,172.72,Orthodox,42,4.08,0.42,4.18,0.69,0.25,0.66,0.71,0.9
Jason Von Flue,14,12,182.88,77.11,None,Orthodox,49,1.89,0.36,3.23,0.52,0.62,0.16,0.58,1.5
